step,time,pv1_input_current_sum,pv1_input_current_avg,4000100388 output_source_priority,4000100388 charger_source_priority,4000100388 input_voltage_range,4000100388 ac_output_voltage,4000100388 ac_output_frequency,4000100388 max_ac_charging_current,4000100388 ac_input_current,4000100388 battery_charging_current,4000100388 ac_input_active_power,4000100388 ac_output_active_power,4000100388 pv1_input_current,4000100388 mode,4000100388 fault_mode,4000100237 output_source_priority,4000100237 charger_source_priority,4000100237 input_voltage_range,4000100237 ac_output_voltage,4000100237 ac_output_frequency,4000100237 max_ac_charging_current,4000100237 ac_input_current,4000100237 battery_charging_current,4000100237 ac_input_active_power,4000100237 ac_output_active_power,4000100237 pv1_input_current,4000100237 mode,4000100237 fault_mode
6,2024-04-23T14:41:47.572806,0.0,0.0,solar_utility_bat,solar_utility,appliance,218.2,45.0,30,19.4,9,4258,3781,0.0,L,48,solar_utility_bat,solar_utility,appliance,218.5,45.0,30,19.7,9,4318,3796,0.0,L,48
6,2024-04-23T14:41:49.076956,0.0,0.0,solar_utility_bat,solar_utility,appliance,218.2,45.0,30,19.4,9,4258,3781,0.0,L,48,solar_utility_bat,solar_utility,appliance,218.5,45.0,30,19.7,9,4318,3796,0.0,L,48
6,2024-04-23T14:41:50.777001,0.0,0.0,solar_utility_bat,solar_utility,appliance,217.9,44.9,30,19.9,11,4356,3757,0.0,L,48,solar_utility_bat,solar_utility,appliance,218.7,44.9,30,19.7,9,4335,3833,0.0,L,48
6,2024-04-23T14:41:52.477567,0.0,0.0,solar_utility_bat,solar_utility,appliance,217.9,44.9,30,19.9,11,4356,3757,0.0,L,48,solar_utility_bat,solar_utility,appliance,218.7,44.9,30,19.7,9,4335,3833,0.0,L,48
7,2024-04-23T14:41:55.593525,0.0,0.0,solar_utility_bat,solar_utility,ups,217.9,44.9,30,19.9,11,4356,3757,0.0,L,48,solar_utility_bat,solar_utility,ups,218.7,44.9,30,19.7,9,4335,3833,0.0,L,48
7,2024-04-23T14:41:57.443448,0.0,0.0,solar_utility_bat,solar_utility,ups,227.9,45.1,30,23.0,24,5241,3914,0.0,L,48,solar_utility_bat,solar_utility,ups,218.7,44.9,30,19.7,9,4335,3833,0.0,L,48
7,2024-04-23T14:41:59.014709,0.0,0.0,solar_utility_bat,solar_utility,ups,227.9,45.1,30,23.0,24,5241,3914,0.0,L,48,solar_utility_bat,solar_utility,ups,228.8,45.0,30,21.5,10,4929,4350,0.0,L,48
7,2024-04-23T14:42:00.948233,0.0,0.0,solar_utility_bat,solar_utility,ups,227.9,45.1,30,23.0,24,5241,3914,0.0,L,48,solar_utility_bat,solar_utility,ups,228.8,45.0,30,21.5,10,4929,4350,0.0,L,48
7,2024-04-23T14:42:02.499085,0.0,0.0,solar_utility_bat,solar_utility,ups,228.0,44.9,30,22.2,22,5093,3935,0.0,L,48,solar_utility_bat,solar_utility,ups,228.8,45.0,30,21.5,10,4929,4350,0.0,L,48
7,2024-04-23T14:42:04.131645,0.0,0.0,solar_utility_bat,solar_utility,ups,228.0,44.9,30,22.2,22,5093,3935,0.0,L,48,solar_utility_bat,solar_utility,ups,229.1,44.9,30,21.4,10,4899,4297,0.0,L,48
8,2024-04-23T14:42:07.168740,0.0,0.0,solar_utility_bat,solar_utility,ups,228.0,45.0,30,22.4,20,5116,3956,0.0,L,48,solar_utility_bat,solar_utility,ups,229.3,45.0,30,21.3,10,4877,4323,0.0,L,48
8,2024-04-23T14:42:08.839756,0.0,0.0,solar_utility_bat,solar_utility,ups,228.0,45.0,30,22.4,20,5116,3956,0.0,L,48,solar_utility_bat,solar_utility,ups,229.3,45.0,30,21.3,10,4877,4323,0.0,L,48
8,2024-04-23T14:42:10.516789,0.0,0.0,solar_utility_bat,solar_utility,ups,238.1,45.0,30,23.1,20,5495,4343,0.0,L,48,solar_utility_bat,solar_utility,ups,238.8,45.1,30,21.9,10,5248,4706,0.0,L,48
8,2024-04-23T14:42:12.166614,0.0,0.0,solar_utility_bat,solar_utility,ups,238.1,45.0,30,23.1,20,5495,4343,0.0,L,48,solar_utility_bat,solar_utility,ups,238.8,45.1,30,21.9,10,5248,4706,0.0,L,48
8,2024-04-23T14:42:13.829819,0.0,0.0,solar_utility_bat,solar_utility,ups,237.9,45.0,30,23.0,21,5475,4352,0.0,L,48,solar_utility_bat,solar_utility,ups,238.8,45.1,30,21.9,10,5248,4706,0.0,L,48
8,2024-04-23T14:42:15.589128,0.0,0.0,solar_utility_bat,solar_utility,ups,237.9,45.0,30,23.0,21,5475,4352,0.0,L,48,solar_utility_bat,solar_utility,ups,238.8,45.1,30,22.1,10,5286,4706,0.0,L,48
8,2024-04-23T14:42:17.138971,0.0,0.0,solar_utility_bat,solar_utility,ups,237.9,45.0,30,22.9,20,5454,4302,0.0,L,48,solar_utility_bat,solar_utility,ups,238.3,44.9,30,22.1,10,5286,4653,0.0,L,48
9,2024-04-23T14:42:20.170790,0.0,0.0,solar_utility_bat,solar_utility,ups,237.9,45.0,30,22.9,20,5454,4302,0.0,L,48,solar_utility_bat,solar_utility,ups,238.5,44.8,30,22.0,10,5257,4669,0.0,L,48
9,2024-04-23T14:42:21.719043,0.0,0.0,solar_utility_bat,solar_utility,ups,237.9,45.0,30,22.9,20,5454,4302,0.0,L,48,solar_utility_bat,solar_utility,ups,238.5,44.8,30,22.0,10,5257,4669,0.0,L,48
9,2024-04-23T14:42:23.265590,0.0,0.0,solar_utility_bat,solar_utility,ups,248.1,44.9,30,23.7,20,5890,4689,0.0,L,48,solar_utility_bat,solar_utility,ups,248.7,45.1,30,22.7,10,5650,5067,0.0,L,48
9,2024-04-23T14:42:24.917936,0.0,0.0,solar_utility_bat,solar_utility,ups,248.1,44.9,30,23.7,20,5890,4689,0.0,L,48,solar_utility_bat,solar_utility,ups,248.7,45.1,30,22.7,10,5650,5067,0.0,L,48
9,2024-04-23T14:42:26.891400,0.0,0.0,solar_utility_bat,solar_utility,ups,248.1,44.9,30,23.7,20,5890,4689,0.0,L,48,solar_utility_bat,solar_utility,ups,248.7,45.1,30,22.7,10,5650,5067,0.0,L,48
9,2024-04-23T14:42:28.501336,0.0,0.0,solar_utility_bat,solar_utility,ups,248.1,44.9,30,23.7,20,5890,4689,0.0,L,48,solar_utility_bat,solar_utility,ups,248.9,45.0,30,22.8,11,5674,5022,0.0,L,48
10,2024-04-23T14:42:31.925149,0.0,0.0,solar_utility_bat,solar_utility,ups,248.2,45.0,30,23.6,20,5861,4703,0.0,L,48,solar_utility_bat,solar_utility,ups,248.9,45.0,30,22.8,11,5674,5022,0.0,L,48
10,2024-04-23T14:42:33.719011,0.0,0.0,solar_utility_bat,solar_utility,ups,257.9,45.0,30,24.4,20,6318,5210,0.0,L,48,solar_utility_bat,solar_utility,ups,248.9,45.0,30,22.8,11,5674,5022,0.0,L,48
10,2024-04-23T14:42:35.341958,0.0,0.0,solar_utility_bat,solar_utility,ups,257.9,45.0,30,24.4,20,6318,5210,0.0,L,48,solar_utility_bat,solar_utility,ups,258.7,45.0,30,24.6,17,6385,5302,0.0,L,48
10,2024-04-23T14:42:37.204857,0.0,0.0,solar_utility_bat,solar_utility,ups,257.9,44.9,30,24.7,21,6396,5210,0.0,L,48,solar_utility_bat,solar_utility,ups,258.7,45.0,30,24.6,17,6385,5302,0.0,L,48
10,2024-04-23T14:42:38.945589,0.0,0.0,solar_utility_bat,solar_utility,ups,257.9,44.9,30,24.7,21,6396,5210,0.0,L,48,solar_utility_bat,solar_utility,ups,258.4,45.0,30,25.3,21,6551,5291,0.0,L,48
